"startdate","p","perc_threshold","home_steep","residuo","residuo_mean","log_like","cov_matrix1","cov_matrix2","cov_matrix3","cov_matrix4","cov_matrix5","cov_matrix6","cov_matrix7","cov_matrix8","cov_matrix9","info","data","rel_like","prob"
18281,0.0254579573752372,0.9,15,0.0102117523624861,0.000107492130131432,-868.118827509829,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2020-01-20,2.69765395530241e-63,2.69761039679446e-63
18282,0.026043531921785,0.9,15,0.00743623024697774,0.0000782761078629236,-898.250473051215,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2020-01-21,3.28846806406203e-50,3.28841496579047e-50
18283,0.0261349422138692,0.9,7.5839844745474,0.00800825699702129,0.0000842974420739083,-891.210108472211,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2020-01-22,2.88006401776256e-53,2.88001751391385e-53
18284,0.0255087831052809,0.9,15,0.013401822115945,0.00014107181174679,-842.292941936481,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2020-01-23,1.64038823000881e-74,1.64036174297047e-74
18285,0.0272533152467951,0.9,6.10271209814751,0.00444593276628409,0.0000467992922766747,-947.116035357588,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2020-01-24,5.48324553088535e-29,5.48315699395734e-29
18286,0.0258965910739718,0.9,15,0.0133292529271723,0.000140307925549182,-842.808752831402,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2020-01-25,2.74764404712574e-74,2.74759968143724e-74
18287,0.0349747546141121,0.9,0.000000193026780969303,0.0134019321256134,0.000141072969743299,-842.292162126429,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2020-01-26,1.6391095374106e-74,1.63908307101907e-74
18288,0.0287380972345777,0.729319842918262,15,0.00224119206945459,0.0000235914954679431,-1012.1893058786,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2020-01-27,1,0.999983853189228
18289,0.0287147914831706,0.764157442973809,15,0.00251721432898419,0.0000264969929366757,-1001.15553402236,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2020-01-28,0.0000161470714960977,0.0000161468107723897
18290,0.0351402628769251,0.9,0,0.007930585939547,0.0000834798519952316,-892.135998625901,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2020-01-29,7.26961022529705e-53,7.26949284427636e-53
18291,0.034395747408556,0.9,0.0038404324597342,0.0118343400403421,0.000124572000424654,-854.109535792845,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2020-01-30,2.22243030887918e-69,2.22239442371753e-69
18292,0.0357994637115415,0.9,0.101217449378811,0.00531738797469772,0.0000559725049968181,-930.111747150003,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2020-01-31,2.26031598342077e-36,2.2602794865263e-36
18293,0.0373834503024893,0.9,0.169991958526811,0.00992322344557398,0.000104454983637621,-870.841664006059,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2020-02-01,4.10675793279637e-62,4.10669162175314e-62
18294,0.036738480176791,0.100009406265233,0.0000879862859500759,0.0038800818337806,0.0000408429666713748,-960.048712968988,0.00000000764771951190646,0.0000000482540238070399,-0.0000000000657207905507351,0.0000000482540238070405,0.00000155404776372684,-0.00000000144077991508446,-0.0000000000657207905507354,-0.00000000144077991508446,0.0000000000014101652784369,2,2020-02-02,2.26792253411007e-23,2.26788591439407e-23
18295,0.038400752753119,0.633616381797163,6.73781330534103,0.00404949468725674,0.0000426262598658604,-955.988806253571,0.0000000274636890210513,-0.000000377511760571815,-0.000000562211332430946,-0.000000377511760571815,0.00000559275003778263,0.00000629498470280596,-0.000000562211332430946,0.00000629498470280596,0.000268036759867388,2,2020-02-03,3.91230885537705e-25,3.91224568406628e-25
18296,0.0290461668292198,0.9,15,0.0072940427143112,0.0000767793969927494,-900.084551101838,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2020-02-04,2.05837076671969e-49,2.05833753059643e-49
