"date","n"
2020-03-22,4354
2020-03-29,7725
2020-04-05,10910
2020-04-12,14239
2020-04-19,18097
2020-04-26,22711
2020-05-03,27405
2020-05-10,32303
2020-05-17,37070
2020-05-24,41316
2020-05-31,45285
2020-06-07,49482
2020-06-14,53054
2020-06-21,56421
2020-06-28,59445
2020-07-05,62843
2020-07-12,66104
2020-07-19,69048
2020-07-26,71962
2020-08-02,74662
2020-08-09,77158
2020-08-16,79595
2020-08-23,81730
2020-08-30,83878
2020-09-06,86033
2020-09-13,87814
2020-09-20,89427
2020-09-27,90879
2020-10-04,92513
2020-10-11,93991
2020-10-18,95508
2020-10-25,97197
2020-11-01,98802
2020-11-08,100762
2020-11-15,103051
2020-11-22,105438
2020-11-29,107697
2020-12-06,110365
2020-12-13,112795
2020-12-20,115160
2020-12-27,117617
2021-01-03,120562
2021-01-10,123660
2021-01-17,126154
2021-01-24,128454
2021-01-31,130587
2021-02-07,133115
2021-02-14,135930
2021-02-21,139647
2021-02-28,144111
2021-03-07,150541
2021-03-14,157148
2021-03-21,163303
2021-03-28,167815
2021-04-04,171802
2021-04-11,175518
2021-04-18,178723
2021-04-25,182031
2021-05-02,185407
2021-05-09,188845
2021-05-16,192727
2021-05-23,196507
2021-05-30,200309
2021-06-06,204025
2021-06-13,206992
2021-06-20,209629
2021-06-27,211760
2021-07-04,214078
2021-07-11,215976
2021-07-18,217616
2021-07-25,219159
2021-08-01,220719
2021-08-08,222239
2021-08-15,223792
2021-08-22,225256
2021-08-29,226606
2021-09-05,228126
2021-09-12,229418
2021-09-19,230691
2021-09-26,231972
2021-10-03,233137
2021-10-10,234153
2021-10-17,235053
2021-10-24,235965
2021-10-31,236777
2021-11-07,237698
2021-11-14,238589
2021-11-21,239529
